,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateOut,lat,lon,EIC,projectID,bus
1,Victoria Falls,Hydro,Run-Of-River,PP,ZM,108,,,0,0,0,1936,1936,2036,-17.9305,25.8598,,,
2,Zilo,Hydro,Reservoir,PP,CD,110,,,0,0,0,1952,1952,2052,-10.4998,25.4631,,,
3,Mwadingusha,Hydro,Reservoir,PP,CD,68,,,0,0,0,1928,1928,2028,-10.7452,27.2447,,,
4,Mtera,Hydro,Reservoir,PP,TZ,80,,,0,0,0,1980,1980,2080,-7.1386,35.9888,,,
5,Kihansi,Hydro,Run-Of-River,PP,TZ,180,,,0,0,0,1999,1999,2099,-8.5751,35.8512,,,
6,Kidatu,Hydro,Reservoir,PP,TZ,204,,,0,0,0,1975,1975,2075,-7.6367,36.8866,,,
7,Tedzani Falls,Hydro,Reservoir,PP,MW,129.8,,,0,0,0,1972,2007,2107,-15.5598,34.7765,,,
8,Nkula,Hydro,Reservoir,PP,MW,136,,,0,0,0,1966,1966,2066,-15.5269,34.8192,,,
9,Kapichira,Hydro,Reservoir,PP,MW,128.8,,,0,0,0,2000,2000,2100,-15.8954,34.7531,,,
10,Kariba Dam,Hydro,Reservoir,PP,ZM,1080,,,0,0,0,1959,1959,2059,-16.5225,28.7621,,,
12,Kafue Gorge Upper,Hydro,Reservoir,PP,ZM,990,,,0,0,0,1971,1971,2071,-15.8067,28.4216,,,
13,Itezhi Tezhi,Hydro,Reservoir,PP,ZM,120,,,0,0,0,1977,1977,2077,-15.7601,26.0213,,,
14,Capanda,Hydro,Reservoir,PP,AO,520,,,0,0,0,1999,1999,2099,-9.7933,15.4635,,,
15,Ruacana,Hydro,Reservoir,PP,NA,347.2,,,0,0,0,1978,1978,2078,-17.3859,14.2161,,,
16,Vanderkloof,Hydro,Reservoir,PP,ZA,240,,,0,0,0,1976,1976,2076,-29.9911,24.7317,,,
17,Palmiet,Hydro,Pumped Storage,Store,ZA,400,,,0,0,0,1988,1988,2088,-34.1985,18.9746,,,
18,Gariep,Hydro,Reservoir,PP,ZA,360,,,0,0,0,1971,1971,2071,-30.6233,25.5067,,,
19,Drakensberg,Hydro,Pumped Storage,Store,ZA,1000,,,0,0,0,1981,1981,2081,-28.566,29.0834,,,
20,Zongo,Hydro,Run-Of-River,PP,CD,225,,,0,0,0,1955,1955,2055,-4.7823,14.90445,,,
21,Ankerlig,CCGT,CCGT,PP,ZA,1338.3,,,0,0,0,2007,2007,2047,-33.589479,18.461496,,,
22,Koeberg,Nuclear,Steam Turbine,PP,ZA,1940,,,0,0,0,1984,1984,2034,-33.6746,18.4321,,,
23,Kriel,Hard Coal,Steam Turbine,PP,ZA,3000,,,0,0,0,1976,1976,2030,-26.253937,29.178465,,,
24,Morupule,Hard Coal,Steam Turbine,PP,BW,732,,,0,0,0,1986,1986,2027,-22.5209145,27.0429165,,,
25,Maamba,Hard Coal,Steam Turbine,PP,ZM,300,,,0,0,0,2016,2016,2061,-17.352722,27.18594,,,
26,Van Eck,Hard Coal,Steam Turbine,PP,NA,120,,,0,0,0,1972,1972,2031,-22.511626,17.078692,,,
27,Tutuka,Hard Coal,Steam Turbine,PP,ZA,3654,,,0,0,0,1985,1985,2040,-26.777156,29.352376,,,
28,Matla,Hard Coal,Steam Turbine,PP,ZA,3600,,,0,0,0,1979,1979,2034,-26.281332,29.141506,,,
29,Matimba,Hard Coal,Steam Turbine,PP,ZA,3990,,,0,0,0,1987,1987,2041,-23.668833,27.610838,,,
30,Majuba,Hard Coal,Steam Turbine,PP,ZA,4143,,,0,0,0,1996,1996,2051,-27.10061,29.770963,,,
31,Lethabo,Hard Coal,Steam Turbine,PP,ZA,3708,,,0,0,0,1985,1985,2040,-26.742032,27.976892,,,
32,Komati,Hard Coal,Steam Turbine,PP,ZA,1000,,,0,0,0,1961,1961,2022,-26.09078,29.47446,,,
33,Gourikwa,CCGT,CCGT,PP,ZA,740,,,0,0,0,2007,2007,2047,-34.166755,21.960715,,,
34,Kendal,Hard Coal,Steam Turbine,PP,ZA,4116,,,0,0,0,1988,1988,2043,-26.090285,28.968796,,,
35,Kelvin,Hard Coal,Steam Turbine,PP,ZA,600,,,0,0,0,1957,1957,2026,-26.115776,28.194019,,,
36,Hendrina,Hard Coal,Steam Turbine,PP,ZA,1200,,,0,0,0,1970,1970,2030,-26.032044,29.601613,,,
37,Grootvlei,Hard Coal,Steam Turbine,PP,ZA,600,,,0,0,0,1969,1969,2030,-26.768494,28.497758,,,
38,Duvha,Hard Coal,Steam Turbine,PP,ZA,3000,,,0,0,0,1980,1980,2034,-25.961261,29.339713,,,
39,Camden,Hard Coal,Steam Turbine,PP,ZA,1600,,,0,0,0,1967,1967,2030,-26.621477,30.090074,,,
40,Arnot,Hard Coal,Steam Turbine,PP,ZA,2352,,,0,0,0,1971,1971,2030,-25.943807,29.79204,,,
42,Cahora Bassa,Hydro,Reservoir,PP,MZ,2075,,,0,0,0,1974,1974,2074,-15.5859,32.7047,,,
43,Cambambe,Hydro,Run-Of-River,PP,AO,960,,,0,0,0,1962,1962,2062,-9.7443,14.48365,,,
45,Corumana Mozambique,Hydro,Reservoir,PP,MZ,16.6,,,0,0,0,1987,1987,2087,-25.21854,32.13417,,,
46,Chicamba Mozambique,Hydro,Reservoir,PP,MZ,48,,,0,0,0,1959,1959,2059,-19.1557,33.145,,,
48,Biopio Dam Angola,Hydro,,PP,AO,14.4,,,0,0,0,1956,1956,2056,-12.4708,13.7319,,,
49,Seke,Hydro,Reservoir,PP,CD,248,,,0,0,0,1956,1956,2056,-10.3046,25.4059,,,
50,Inga,Hydro,Reservoir,PP,CD,1775,,,0,0,0,1972,1972,2072,-5.5218,13.6213,,,
51,Steenbras,Hydro,Pumped Storage,Store,ZA,160,,,0,0,0,1979,1979,2079,-34.152,18.8982,,,
52,Ingula,Hydro,Pumped Storage,Store,ZA,1332,,,0,0,0,2016,2016,2116,-28.2809,29.588,,,
53,Kusile,Hard Coal,Steam Turbine,PP,ZA,4800,,,0,0,0,2018,2018,2071,-25.92007,28.924942,,,
54,Ruzizi 2,Hydro,Run-Of-River,PP,CD,28.2,,,0,0,0,1958,1958,2058,-2.63344,28.90266,,,
55,Koni Democratic Republic Of The Congo,Hydro,Reservoir,PP,CD,42.12,,,0,0,0,1950,1950,2050,-10.7184,27.2839,,,
56,Maguga Swaziland,Hydro,Reservoir,PP,SZ,19.8,,,0,0,0,2007,2007,2107,-26.0785,31.2616,,,
57,Edwaleni Hydropower Swaziland,Hydro,,PP,SZ,15,,,0,0,0,1964,1964,2064,-26.5895,31.324,,,
58,Pangani Falls Tanzania,Hydro,Reservoir,PP,TZ,68,,,0,0,0,1995,1995,2095,-5.349,38.651,,,
59,Nyumba Ya Mungu Dam Tanzania,Hydro,,PP,TZ,8,,,0,0,0,1966,1966,2066,-3.826,37.47,,,
60,Iptl Diesel Tanzania,Oil,,PP,TZ,92.63354954,,,0,0,0,2002,2002,2042,-6.6741,39.1873,,,
61,Hale Tanzania,Hydro,Reservoir,PP,TZ,21,,,0,0,0,1964,1964,2064,-5.298,38.604,,,
63,Katse Muela Scheme Lesotho,Hydro,Reservoir,PP,LS,80,,,0,0,0,1998,1998,2098,-28.7804,28.45355,,,
64,Lusiwasi Zambia,Hydro,Reservoir,PP,ZM,12,,,0,0,0,1967,1967,2067,-12.9884,30.8649,,,
65,Matala Dam Angola,Hydro,,PP,AO,40.8,,,0,0,0,1954,1954,2054,-14.74424,15.04183,,,
67,Tegeta Diesel,CCGT,CCGT,PP,TZ,100,,,0,0,0,2002,2002,2042,-6.67442,39.18772,,,
68,Central Caminho De Ferro De Luanda Cfl,CCGT,CCGT,PP,AO,125,,,0,0,0,2017.5,2017.5,2057.5,-8.82779,13.27575,,,
69,Hwange,Hard Coal,Steam Turbine,PP,ZW,1590,,,0,0,0,1983,1983,2028,-18.38327283,26.46972865,,,
71,Bloemfontein Coal South Africa,Hard Coal,,PP,ZA,94.95950653,,,0,0,0,1978.047619,1978.047619,2023.047619,-29.12425,26.22543,,,
72,Chicapa Dam Angola,Hydro,Run-Of-River,PP,AO,34,,,0,0,0,1988,1988,2088,-9.488574,20.350402,,,
